Release Period,Measure ID,Bottom-box Percentage,Middle-box Percentage,Top-box Percentage
07_2015,H_CLEAN_HSP,8,18,74
07_2015,H_COMP_1,4,17,79
07_2015,H_COMP_2,4,14,82
07_2015,H_COMP_3,9,23,68
07_2015,H_COMP_5,18,17,65
07_2015,H_COMP_6,14,0,86
07_2015,H_COMP_7,5,43,52
07_2015,H_HSP_RATING,8,21,71
07_2015,H_QUIET_HSP,9,29,62
07_2015,H_RECMND,5,24,71
07_2016,H_CLEAN_HSP,8,18,74
07_2016,H_COMP_1,4,16,80
07_2016,H_COMP_2,4,14,82
07_2016,H_COMP_3,9,23,68
07_2016,H_COMP_5,18,17,65
07_2016,H_COMP_6,13,0,87
07_2016,H_COMP_7,5,43,52
07_2016,H_HSP_RATING,8,20,72
07_2016,H_QUIET_HSP,9,29,62
07_2016,H_RECMND,5,24,71
07_2017,H_CLEAN_HSP,8,18,74
07_2017,H_COMP_1,4,16,80
07_2017,H_COMP_2,4,14,82
07_2017,H_COMP_3,8,23,69
07_2017,H_COMP_5,17,18,65
07_2017,H_COMP_6,13,0,87
07_2017,H_COMP_7,5,43,52
07_2017,H_HSP_RATING,7,20,73
07_2017,H_QUIET_HSP,9,28,63
07_2017,H_RECMND,5,23,72
07_2018,H_CLEAN_HSP,8,17,75
07_2018,H_COMP_1,4,16,80
07_2018,H_COMP_2,4,14,82
07_2018,H_COMP_3,8,22,70
07_2018,H_COMP_5,17,17,66
07_2018,H_COMP_6,13,0,87
07_2018,H_COMP_7,5,42,53
07_2018,H_HSP_RATING,7,20,73
07_2018,H_QUIET_HSP,9,29,62
07_2018,H_RECMND,5,23,72
07_2019,H_CLEAN_HSP,7,18,75
07_2019,H_COMP_1,4,15,81
07_2019,H_COMP_2,5,14,81
07_2019,H_COMP_3,8,22,70
07_2019,H_COMP_5,17,17,66
07_2019,H_COMP_6,13,0,87
07_2019,H_COMP_7,5,42,53
07_2019,H_HSP_RATING,8,19,73
07_2019,H_QUIET_HSP,10,28,62
07_2019,H_RECMND,5,23,72
07_2020,H_CLEAN_HSP,7,17,76
07_2020,H_COMP_1,4,15,81
07_2020,H_COMP_2,5,13,82
07_2020,H_COMP_3,8,22,70
07_2020,H_COMP_5,17,17,66
07_2020,H_COMP_6,13,0,87
07_2020,H_COMP_7,5,41,54
07_2020,H_HSP_RATING,8,19,73
07_2020,H_QUIET_HSP,9,29,62
07_2020,H_RECMND,5,23,72
07_2021,H_CLEAN_HSP,7,17,76
07_2021,H_COMP_1,4,15,81
07_2021,H_COMP_2,4,14,82
07_2021,H_COMP_3,8,22,70
07_2021,H_COMP_5,17,17,66
07_2021,H_COMP_6,13,0,87
07_2021,H_COMP_7,5,41,54
07_2021,H_HSP_RATING,7,20,73
07_2021,H_QUIET_HSP,9,29,62
07_2021,H_RECMND,5,23,72
07_2022,H_CLEAN_HSP,9,18,73
07_2022,H_COMP_1,5,15,80
07_2022,H_COMP_2,5,15,80
07_2022,H_COMP_3,10,23,67
07_2022,H_COMP_5,19,18,63
07_2022,H_COMP_6,14,0,86
07_2022,H_COMP_7,6,42,52
07_2022,H_HSP_RATING,8,20,72
07_2022,H_QUIET_HSP,10,27,63
07_2022,H_RECMND,6,23,71
07_2023,H_CLEAN_HSP,10,18,72
07_2023,H_COMP_1,5,16,79
07_2023,H_COMP_2,5,16,79
07_2023,H_COMP_3,11,24,65
07_2023,H_COMP_5,20,19,61
07_2023,H_COMP_6,14,0,86
07_2023,H_COMP_7,6,43,51
07_2023,H_HSP_RATING,9,21,70
07_2023,H_QUIET_HSP,10,28,62
07_2023,H_RECMND,6,25,69
